flight_id,flight_duration,passenger_count,adult_passengers,child_passengers,business_class_ratio,is_international,total_food_demand
1,2.45,152,116,36,0.931922435685587,0,203
2,8.59,229,162,67,0.62793749329946,1,695
3,1.9,142,112,30,0.9940619833831104,0,160
4,2.86,64,56,8,0.537356404772887,0,74
5,6.85,156,153,3,0.7101108919062131,0,311
6,5.94,121,115,6,0.05620955786622217,1,245
7,4.42,238,199,39,0.6317361768234109,0,448
8,7.59,70,61,9,0.7646496115903573,0,130
9,2.59,152,124,28,0.7785142948525573,0,186
10,3.73,171,156,15,0.7701116522302854,0,224
11,8.46,260,197,63,0.22628262729366766,1,730
12,6.29,264,249,15,0.9753984776052259,0,552
13,7.31,124,102,22,0.9951821206249387,0,248
14,11.24,252,209,43,0.07559587516160127,1,631
15,6.44,137,136,1,0.9364464228117573,0,288
16,2.6,166,131,35,0.28944919430436933,0,184
17,1.17,149,141,8,0.6892840817509648,0,146
18,3.69,153,108,45,0.33811092073613214,0,159
19,1.99,201,141,60,0.9677543233731215,0,214
20,5.97,180,150,30,0.10150385830353548,0,276
21,5.63,199,151,48,0.497746816956376,0,354
22,1.31,102,94,8,0.42804779194207465,0,98
23,6.86,51,49,2,0.3260234522779849,0,87
24,5.24,137,125,12,0.6455339908801486,1,305
25,4.03,285,232,53,0.13105574342166748,0,446
26,5.68,207,182,25,0.7166624181336969,0,413
27,4.01,87,62,25,0.9805921238047873,0,183
28,4.09,179,132,47,0.8045587144686301,0,357
29,1.46,241,222,19,0.8600167529095454,0,252
30,3.81,237,191,46,0.3596367431790025,0,271
31,6.35,70,70,0,0.3248866064812187,0,123
32,7.41,210,175,35,0.5170483546901332,0,379
33,3.89,253,229,24,0.04572661476227269,0,248
34,3.97,107,74,33,0.9453581344565326,0,149
35,5.92,71,65,6,0.1437851730161922,0,111
36,11.48,285,228,57,0.9030130391680924,1,895
37,2.87,138,108,30,0.0835822220003557,0,133
38,4.08,98,88,10,0.8226249276785601,0,196
39,6.57,268,205,63,0.15196252587821513,0,410
40,8.49,108,93,15,0.0381316140914727,1,268
41,1.77,219,209,10,0.7194894502594087,0,230
42,5.39,269,212,57,0.2802653001744283,0,449
43,2.31,237,195,42,0.7144961527843495,0,305
44,7.59,257,233,24,0.5550852504728198,1,564
45,4.7,64,53,11,0.10880739023006558,0,100
46,7.13,239,176,63,0.9321300733011637,0,455
47,7.16,239,238,1,0.45231417476347757,1,520
48,5.51,224,209,15,0.734447277798688,1,527
49,5.08,239,218,21,0.5010205720156251,1,551
50,7.12,100,89,11,0.6043614749612047,0,182
51,2.2,157,140,17,0.30277359235669243,0,165
52,3.98,104,85,19,0.20036030400345028,0,108
53,2.31,293,254,39,0.5425702034080678,0,351
54,6.41,113,106,7,0.440218972971002,0,207
55,4.32,298,260,38,0.3901132134339331,0,531
56,3.46,180,148,32,0.672567195094623,0,216
57,3.53,278,272,6,0.6905066320111359,0,343
58,6.97,100,91,9,0.04592005609126304,0,146
59,4.88,184,157,27,0.33874449424367215,0,316
60,6.03,70,52,18,0.41176455022637737,0,112
61,7.28,122,97,25,0.0968921611641681,0,178
62,7.31,216,209,7,0.23590086669828836,0,354
63,3.3,67,53,14,0.051641797222756636,0,65
64,7.67,181,143,38,0.9962420986170206,0,356
65,1.17,138,107,31,0.7365572029698445,0,137
66,3.64,109,106,3,0.08745015650275367,0,110
67,11.06,63,57,6,0.020249379790092115,1,163
68,2.92,291,236,55,0.7192878001522802,0,384
69,2.91,299,290,9,0.43919216568266695,0,337
70,5.72,58,41,17,0.786796709064576,1,135
71,5.29,139,107,32,0.9234760378183837,0,290
72,6.94,102,79,23,0.5993003890163725,1,239
73,9.54,179,136,43,0.18710842291725305,1,474
74,7.26,133,107,26,0.7821940360464525,0,261
75,9.07,141,128,13,0.9558117431743745,1,451
76,2.43,160,160,0,0.580231287059956,0,201
77,7.53,237,190,47,0.6819974472807335,0,463
78,2.85,248,190,58,0.33747469503667304,0,274
79,2.05,221,191,30,0.3815276946603112,0,250
80,3.81,57,55,2,0.7346544978530639,1,88
81,4.94,224,205,19,0.9277710984068192,0,463
82,1.8,84,65,19,0.6289883872243522,0,83
83,1.97,255,218,37,0.7898479084853475,0,268
84,3.1,130,96,34,0.17163501741537301,0,127
85,2.97,213,192,21,0.21195909025797355,0,229
86,5.23,99,93,6,0.5320346868333901,0,180
87,10.35,153,135,18,0.17655419224284052,1,402
88,6.33,181,153,28,0.6349950702209236,0,324
89,5.36,51,45,6,0.291653185394699,1,105
90,2.72,183,128,55,0.791532618666892,0,238
91,7.76,103,82,21,0.8081103466143434,0,202
92,1.06,155,126,29,0.4637874557553531,0,148
93,7.16,53,45,8,0.18081063503763528,0,82
94,2.4,103,98,5,0.6467749610819326,0,134
95,11.53,270,222,48,0.9927870182635864,1,924
96,3.4,240,211,29,0.6225908979425233,0,292
97,6.96,195,139,56,0.03577469071400785,1,357
98,5.95,267,267,0,0.01729397576708258,0,393
99,5.11,93,79,14,0.3203619704923062,0,161
100,3.23,211,197,14,0.19578380686040486,0,221
101,7.98,251,187,64,0.8130512071433081,1,587
102,6.11,239,215,24,0.8448056670360005,0,460
103,3.38,277,262,15,0.25861877131047617,1,398
104,3.1,63,59,4,0.3256447769498927,1,87
105,4.21,144,111,33,0.23624696771511466,0,225
106,1.92,97,85,12,0.908382547371264,0,103
107,5.65,64,48,16,0.5026493346222822,0,111
108,2.5,249,190,59,0.6561370440820199,0,303
109,4.03,255,235,20,0.4154820866996033,0,442
110,2.38,264,212,52,0.6310141935045311,0,333
111,4.84,298,240,58,0.3858553767217361,0,519
112,1.81,239,226,13,0.33967843772922546,0,222
113,1.16,89,88,1,0.6344800731734802,0,86
114,1.36,262,237,25,0.5910620780489892,0,264
115,7.68,257,188,69,0.29352795416794963,0,399
116,2.0,286,246,40,0.1493484503194734,0,286
117,5.96,131,113,18,0.3685766938381376,0,231
118,3.61,160,132,28,0.4151976391419092,1,238
119,1.76,102,91,11,0.6286843334246048,0,101
120,4.56,73,61,12,0.9145287636368638,0,152
121,4.25,203,154,49,0.03618479753292514,0,312
122,7.66,266,218,48,0.2436610125418449,0,432
123,7.61,237,188,49,0.19371594227956035,0,376
124,10.02,173,164,9,0.5022944086937836,1,530
125,5.21,286,210,76,0.4297008070431598,0,473
126,4.18,90,78,12,0.7290376238201884,0,166
127,3.49,206,147,59,0.24241591254486383,0,223
128,7.63,64,58,6,0.5944983657497586,0,116
129,5.22,94,89,5,0.8838572635999593,0,183
130,5.05,114,108,6,0.9106777399183047,0,228
131,2.62,138,104,34,0.9587846047250311,0,183
132,1.33,120,104,16,0.7732611520799886,0,130
133,7.62,58,58,0,0.905987906258915,0,121
134,3.2,137,113,24,0.23453087198527423,0,147
135,6.98,178,135,43,0.19758094435047702,1,375
136,1.8,285,235,50,0.006488083780526455,0,232
137,6.86,185,170,15,0.7068443574290983,0,353
138,1.19,265,201,64,0.9374671878137444,0,295
139,6.84,112,105,7,0.18693534504167642,0,177
140,1.98,188,171,17,0.6369435754268788,0,182
141,7.21,292,250,42,0.7464597592217775,0,544
142,6.11,130,108,22,0.9276142351480565,0,267
143,2.15,185,142,43,0.6468602240172217,0,226
144,4.96,212,160,52,0.9702937327487523,0,437
145,3.19,212,160,52,0.34467314101254776,0,238
146,2.25,82,60,22,0.34992853377140765,0,86
147,7.01,172,150,22,0.5430125100143456,0,295
148,3.82,54,38,16,0.3835018811159071,0,60
149,3.79,283,213,70,0.0014257282875326238,0,264
150,2.19,280,204,76,0.7317720250869874,0,355
